id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
65375,144265,Brave Dwarves 2,"It's time to get acquainted with the most complete and reliable story about the brave dwarves' deeds. It took a lot of time for chroniclers to put together all the episodes of the glorious saga.  
  
Now we can see why this war is known as the great and decisive one. It turns out that our heroes have fought in more than a thousand battles during their campaign! The dwarves fought under the Sun and the Moon, in thickets of the magical forest and in tight corridors of the mines. They have been in lots of wonderful and sometimes dreadful places on their way!",2004-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
151200,73533,Brave Dwarves: Back for Treasures,"This is not just another fairy tale. It's a saga about the everlasting battle between good and evil, and you are the main character. Since earliest times the glorious clan of dwarves is standing guard over the subterranean world. And this work is hard and all-important indeed. Only the few know that all the worlds are connected to each other with secret passages. Most of these passages are underground, hidden from strangers' eyes. A casual traveler enters a cave as a shelter from bad weather, but we know it hides a gate to another world. A gate from where unbidden visitors may come. 
 
The dwarves are guarding the passage secret and keep peace in their world... And now the world shuddered. For the majority it is just a natural disaster. But we know: the world substance is torn, it's time to take arms, go down and stop the invaders. 
 
Your mission is to purge the dungeons from the evil and gather as much treasures as you can - it will take plenty of gold and diamonds to repair the seal on the Gate between the worlds. 
 
The Warrior and the Wizard are the greatest heroes of their people. What do you prefer - slashing steel or will-power? Make your choice and start your journey. 
 
Remember, the fate of many worlds depends on you...",2004-12-31 00:00:00.000,2,1,NULL,NULL,NULL,NULL
177322,210756,BrazSonic,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100304,71653,Bricks of Egypt,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107475,49162,Bubble Bobble: Old & New,NULL,2004-10-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18885,196728,Bullet Time Fighting,NULL,2004-09-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185472,5761,Burnout 3: Takedown,NULL,2004-09-07 00:00:00.000,47,NULL,93.0000,5,82.9363,138
174713,3842,Cabela's Big Game Hunter 2005 Adventures,NULL,2004-09-06 00:00:00.000,NULL,NULL,NULL,NULL,22.0000,1
153119,60229,Cabela's Big Game Hunter 2006 Trophy Season,NULL,2004-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
149694,5765,Cabela's Deer Hunt: 2005 Season,NULL,2004-08-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
107470,77290,Call of Duty,NULL,2004-12-31 00:00:00.000,2,NULL,NULL,NULL,64.9382,14
107601,3761,Call of Duty: Finest Hour,NULL,2004-11-16 00:00:00.000,5,NULL,81.6000,7,62.0121,41
175156,99551,Capcom Fighting Evolution,NULL,2004-10-01 00:00:00.000,NULL,NULL,NULL,NULL,51.0847,6
168966,206704,Capcom's Coin-op Collection Vol.1,NULL,2004-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129030,80800,Cardcaptor Sakura: Sakura-Chan to Asobo!,NULL,2004-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47893,66365,CarJacker: Hotwired and Gone!,NULL,2004-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145143,3848,Carmen Sandiego: The Secret of the Stolen Drums,NULL,2004-09-01 00:00:00.000,NULL,NULL,NULL,NULL,29.0000,0
148162,2809,Cartoon Network: Block Party,NULL,2004-08-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154801,163701,Casa dos Artistas,NULL,2004-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62226,92914,Castle Strike,NULL,2004-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
56720,128682,Cats,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108881,3851,Catwoman,NULL,2004-07-20 00:00:00.000,2,NULL,71.4000,10,57.9815,10
189078,6189,Cave Story,"The player character awakens in a cave with no memory of how he came to be there. He finds a village of Mimigas, who are being persecuted by the Doctor. The Doctor's servants Misery and Balrog are looking for Sue Sakamoto, a girl who had been transformed into a Mimiga. Not finding her, they mistakenly abduct another Mimiga named Toroko instead. The player finds Sue in the Egg Corridor, where she discovers the eggs of a Sky Dragon, which could allow her to escape the floating island if hatched. Sue attempts to rescue her brother Kazuma, but King, the leader of Mimiga Village, captures her and holds her responsible for Toroko's kidnapping. Sue tasks the player with retrieving Kazuma from Grasstown. After freeing him, they meet Professor Booster, who reveals that the Doctor plans to use the red flowers on Mimigas to create an army to take over the surface world. Booster sends the player to the Sand Zone to destroy the red flowers before the Doctor can find them. While there, the player meets Curly Brace, a female robot who also has no memories of her past, and Jenka, an old witch who is Misery's mother and guardian of the red flowers. Jenka calls the player character a ""soldier from the surface"", one of many who were sent to the island to slaughter the Mimigas.

Misery transports the player to the Labyrinth deep inside the island as punishment for interfering with the Doctor's plans. Curly Brace has also been thrown into the Labyrinth and they cooperate to escape. Balrog helps them to move the boulder blocking the exit, revealing his kind nature. The pair find and defeat the Core, a magical creature whose power keeps the island afloat. However, the Doctor steps in to save it before the island collapses. Depending on certain conditions, the player may rescue Curly Brace, who had sacrificed her air tank to save the player character. When he returns to Mimiga Village, he finds that the Doctor has captured the Mimigas. In the Egg Corridor, Kazuma offers the player a choice to escape the island with him using a Sky Dragon, leading to an alternate ending in which the Doctor conquers the surface world while Kazuma and the player hide in the mountains. The player may instead choose to confront the Doctor and destroy the island's Core, which would return the Mimigas to normal. The player scales the outer wall of the island to reach the Plantation where the Doctor is using the Mimigas as slave laborers to grow red flowers. The Doctor's servants capture him and place him in a jail cell with Sue. She is taken away before the player wakes up, but her letter reveals that the Doctor was a member of the research expedition that included Sue's family and Professor Booster, but he betrayed them once he found the Demon Crown. Sue directs the player to find her mother who may have a plan to stop the Doctor.

If the player saved Curly Brace earlier, the player may find an item to restore her memories. She remembers that the player character's name is Quote, and that they were not the killer robots who slaughtered Mimigas in the past. Instead, they were sent to destroy the Demon Crown to prevent its power from falling into the wrong hands. Quote finds Sue's mother, Momorin, who is building a rocket that will allow access to the top of the island where the Doctor resides. After helping her complete the rocket, Quote confronts Misery and the Doctor. The Doctor has purified the essence of the red flowers into a crystal, which allows him to survive even after Quote destroys his body. The Doctor's spirit possesses the Core of the island, but Quote succeeds in destroying that as well, causing the island to begin falling to Earth. Under certain conditions, the player may proceed into a bonus stage called the Bloodstained Sanctuary where the creator of the Demon Crown, Ballos, is imprisoned. Ballos, Jenka's brother, was a powerful wizard who went insane after being tortured. Misery forced Ballos to create the Demon Crown, but she and Balrog became cursed to serve whoever possessed it. With the help of Curly Brace, Quote defeats Ballos and stops the source of the negative energy that was causing the island to fall, saving its inhabitants. Balrog saves the two before they are crushed by Ballos' collapsing prison—he had been sent by Misery as thanks for breaking her curse. Quote, Curly Brace, and Balrog leave the island to live out their days in peace.",2004-12-20 00:00:00.000,35,NULL,83.0000,3,85.0936,79
41066,204562,Cellmons,NULL,2004-10-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126056,146411,Championship Chess,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57952,76597,Chaos Breaker,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49697,50120,Chaos League,NULL,2004-08-06 00:00:00.000,NULL,2,NULL,NULL,NULL,NULL
145149,195500,Chase,NULL,2004-09-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176408,23714,Chessmaster,NULL,2004-11-26 00:00:00.000,NULL,NULL,76.0000,4,NULL,NULL
135233,15883,Chessmaster 10th Edition,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176804,5775,Chicago Enforcer,"Chicago in the roaring '20's. A Ttme of bootleggin', bribery and the Valentine's Day Massacre. Mob rule has taken over and Al Capone's fighting for control of the streets. You are Jimmy ""Machine Gun"" DeMora, ""Scarface"" Capone's main enforcer. Pay off cops and knock off informants to rise through the ranks. Wash your hands in the blood of many to seize control of Chicago's underworld. It's nothing personal - it's just business.",2004-07-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32509,94687,Chicken Fraction,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107715,10737,Chris Sawyer's Locomotion,NULL,2004-09-07 00:00:00.000,3,NULL,NULL,NULL,80.0000,4
178660,220536,Classic Arcade Pinball,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177707,49171,Classic NES Series: Castlevania,NULL,2004-08-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186989,136280,Classic NES Series: Zelda II - The Adventure of Link,NULL,2004-08-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
41234,57644,Clonk Endeavour,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131284,69282,Clover Heart's: Looking for Happiness,NULL,2004-08-26 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
175279,3861,Cocoto Platform Jumper,NULL,2004-07-02 00:00:00.000,NULL,NULL,NULL,NULL,36.0000,1
163506,49159,Codename: Kids Next Door - Operation S.O.D.A.,NULL,2004-11-02 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
160972,185825,Codename: Kids Next Door - Operation T.R.I.C.K. Or T.R.E.A.T.,NULL,2004-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192079,640,Codename: Panzers - Phase One,NULL,2004-09-30 00:00:00.000,1,NULL,NULL,NULL,87.2067,7
107060,7969,Colin McRae Rally 2005,NULL,2004-09-24 00:00:00.000,12,NULL,80.0000,3,78.8200,39
147838,5786,Conflict: Vietnam,NULL,2004-09-03 00:00:00.000,4,NULL,60.0000,3,66.6765,6
97103,84455,Conquer Online,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78187,18820,Conquer Online 2.0,NULL,2004-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49000,127965,Conquering the Queen,NULL,2004-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144088,4773,Counter Force,NULL,2004-12-31 00:00:00.000,NULL,NULL,20.0000,1,NULL,NULL
16287,307,Counter-Strike: Source,NULL,2004-11-01 00:00:00.000,125,NULL,90.0000,3,78.6294,372
80776,5789,Crash 'N' Burn,NULL,2004-11-15 00:00:00.000,NULL,NULL,65.0000,2,NULL,NULL
47089,222884,Crash Nitro Kart,NULL,2004-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56379,210238,Crash Nitro Kart,NULL,2004-09-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55471,210234,Crash Twinsanity,NULL,2004-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
187195,1189,Crash Twinsanity,"The story is set three years after the events of Crash Bandicoot: The Wrath of Cortex, where the villainous Doctor Neo Cortex and the mighty Uka Uka were left stranded in the Antarctic sea. In this game's story, N. Sanity Island comes under threat by a sinister duo called The Evil Twins, forcing Crash Bandicoot to reluctantly team up with his arch nemesis and creator, Doctor Neo Cortex, whom the twins seek revenge against.",2004-09-28 00:00:00.000,14,NULL,62.6667,3,69.6494,80
55415,210232,Crash Twinsanity 3D,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59378,9077,Crazy Bus,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,11.3567,5
132803,23564,Crazy Castle,NULL,2004-12-31 00:00:00.000,NULL,NULL,52.0000,1,NULL,NULL
115776,96540,Crazy Chicken Pinball Vol. 1,NULL,2004-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
146059,72268,Crazy Chicken: Wanted,NULL,2004-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
119390,224454,Crazy Frog's Dancing,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
